,id,created_at,geo,place,coordinates,text,truncated,name,screen_name
0,1460675740819767301,Tue Nov 16 18:26:49 +0000 2021,,,, Old Bus Good ,False,Comic Radio Show,maqz
1,1460667489558441993,Tue Nov 16 17:54:02 +0000 2021,,,,"Another step towards climate neutrality on Pellworm

The Lions City E itself runs of course emission free the ",True,MAN Truck & Bus,MAN_Group
2,1460633593592561664,Tue Nov 16 15:39:20 +0000 2021,,"{'id': '37439688c6302728', 'url': 'https://api.twitter.com/1.1/geo/id/37439688c6302728.json', 'place_type': 'city', 'name': 'Munich', 'full_name': 'Munich, Germany', 'country_code': 'DE', 'country': 'Germany', 'contained_within': [], 'bounding_box': {'type': 'Polygon', 'coordinates': [[[11.360589, 48.061634], [11.722918, 48.061634], [11.722918, 48.248124], [11.360589, 48.248124]]]}, 'attributes': {}}",,Mum noooooo thats the bus stop to the vet I know that for sure dont like that Sugar  annoying ,True,KatieJohnsson,JohnssonKatie
3,1460335210919337989,Mon Nov 15 19:53:40 +0000 2021,,,,Would You Manage 70 Children And A 15Ton Vehicle For 18 An Hour How the nationwide school bus driver shortage he ,True,Laetitia Vitaud,Vitolae
4,1460041858466385922,Mon Nov 15 00:27:59 +0000 2021,,,," Hm

1 Roadster 2
2 Semi
3 CyberTruck
4 Compact Car
5 Van
6 Bus",False,Alex,alex_avoigt
5,1459987253107863560,Sun Nov 14 20:51:01 +0000 2021,,,, But Larry sweet pass Suko sha  Suko wey dey sound like name of bus stop for Oworo ,False,Miccoli,Mc_nevis
6,1459519079937683460,Sat Nov 13 13:50:39 +0000 2021,,,, This has worked for me when theyre wearing a mask improperly but it did not work today on the douc ,True,Emily Wenzel,_emilywenzel
7,1459338941379883016,Sat Nov 13 01:54:51 +0000 2021,,,,Candace Owens doesnt think that she wouldve had to sit at the back of the bus with the rest of the niggas use th ,True,Indigo,InformationPlug
8,1459231224719941643,Fri Nov 12 18:46:49 +0000 2021,,,,We fixed an issue in the HyperV virtual machine bus VMBus that causes the Windows Subsystem for Linux WSL VM t ,True,Stanzilla,stanzillaz
9,1459106931130482688,Fri Nov 12 10:32:55 +0000 2021,,,, 16 No all eligible adults must show a pass to access restaurants terraces cultural venu ,True,Monacochick 3.5%,monacochick
10,1459104218359472138,Fri Nov 12 10:22:09 +0000 2021,,,,Our corporation partner Lauer amp Weiss GmbH  offers Hydrogen FuelCell ElectricVehicle with fuelcell systems from ,True,Manfred Limbrunner,ManfredLimbrun1
11,1459102501177896961,Fri Nov 12 10:15:19 +0000 2021,,,,Our corporation partner Lauer amp Weiss GmbH offers Hydrogen FuelCell ElectricVehicle with fuelcell systems from ,True,Manfred Limbrunner,ManfredLimbrun1
12,1459074191312011317,Fri Nov 12 08:22:50 +0000 2021,,,,We are clearly facing the third hen crisis and this time it is the worst case scenario Rafael Lima the creator of ,True,Mario Klingemann,quasimondo
13,1459072695606427661,Fri Nov 12 08:16:53 +0000 2021,,,,"Join the Zero Emission Bus ConferenceZEB2021 in   1718 Nov
Manufacturers operators ",True,"BayFOR Unit Environment, Energy & Bioeconomy",BayFOR_UEB
14,1458679554248216581,Thu Nov 11 06:14:41 +0000 2021,,,,RunBuswalk,False,Gigi,Gigi46258359
15,1458661257683349510,Thu Nov 11 05:01:59 +0000 2021,,,,love going to bed before 8pm so I can catch my 8hs before getting on the 6am bus ,False,es muas oam a amoi wos wurscht sei kenna,homosozialismus
16,1458404207271321605,Wed Nov 10 12:00:33 +0000 2021,,,, Underrated Bus,False,Mullandowski 🇩🇪,mullandowski
17,1458402568233799681,Wed Nov 10 11:54:02 +0000 2021,,,, Und bus,False,Rey2,Rey2fn
18,1458201081339596800,Tue Nov 09 22:33:24 +0000 2021,,,, Bro got onto the store as if he hasnt just been rammed by a bus ,False,Ahmed,ahmedsatii
19,1458197307468431364,Tue Nov 09 22:18:24 +0000 2021,,,,Im not saying its a perfect film by any stretch but its sad to see how a very good movie gets thrown under the b ,True,Blue Jo Kelpie,BlueJoKelpie
20,1458092014935871506,Tue Nov 09 15:20:01 +0000 2021,,,,In 2021  brand IC Bus started a new project to electrify their iconic yellow school buses and build ,True,TRATON GROUP,TRATON_GROUP
